"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Dependientes","-Personas usuarias","Araba/Álava","Privado",60,106,65,62,98,101,102,99,98,122,116,95,100,91,82,84,:,:,:,29,27,27,37,37,35,38,36,36,28,37
"Dependientes","-Personas usuarias","Bizkaia","Total",994,1057,126,625,757,853,789,792,600,574,616,609,588,716,747,905,928,944,679,49,49,51,45,54,47,31,31,114,120,121
"Dependientes","-Personas usuarias","Bizkaia","Público",399,317,0,352,452,479,474,472,325,:,:,321,330,628,661,824,858,876,505,:,:,:,:,:,0,0,0,88,91,92
"Dependientes","-Personas usuarias","Bizkaia","Privado",595,740,126,273,305,374,315,320,275,:,:,288,258,88,86,81,70,68,174,49,49,51,45,54,47,31,31,26,29,29
"Dependientes","-Personas usuarias","Gipuzkoa","Total",562,643,453,489,587,592,806,893,854,943,975,902,763,770,761,818,650,668,661,645,650,654,671,699,691,394,339,367,366,296
"Dependientes","-Personas usuarias","Gipuzkoa","Público",0,0,0,0,213,243,218,273,273,:,:,203,199,199,197,198,:,:,:,:,:,6,6,6,6,6,4,4,3,0
"Dependientes","-Personas usuarias","Gipuzkoa","Privado",562,643,453,489,374,349,588,620,581,:,:,699,564,571,564,620,:,:,:,645,650,648,665,693,685,388,335,363,363,296
"Mixtas","-Centros","C.A. de Euskadi","Total",84,89,114,114,139,149,156,187,213,236,246,254,281,294,300,311,320,316,317,323,318,325,333,333,337,355,354,348,342,339
"Mixtas","-Centros","C.A. de Euskadi","Público",36,38,43,41,44,46,46,47,48,48,51,51,48,53,54,58,59,63,57,76,74,77,78,78,78,81,82,78,78,76
"Mixtas","-Centros","C.A. de Euskadi","Privado",48,51,71,73,95,103,110,140,165,188,195,203,233,241,246,253,261,253,260,247,244,248,255,255,259,274,272,270,264,263
"Mixtas","-Centros","Araba/Álava","Total",10,10,14,17,23,27,27,29,33,38,40,38,40,45,48,52,59,59,62,64,68,69,72,74,78,83,84,81,80,78
"Mixtas","-Centros","Araba/Álava","Público",5,5,9,8,7,7,7,8,7,7,9,9,8,9,10,10,10,10,11,15,16,16,16,16,16,16,16,16,16,15
"Mixtas","-Centros","Araba/Álava","Privado",5,5,5,9,16,20,20,21,26,31,31,29,32,36,38,42,49,49,51,49,52,53,56,58,62,67,68,65,64,63
"Mixtas","-Centros","Bizkaia","Total",40,45,66,63,82,83,87,114,135,149,155,165,187,194,197,202,203,200,197,201,194,198,204,201,201,212,208,205,202,200
"Mixtas","-Centros","Bizkaia","Público",10,11,14,12,14,14,14,14,15,16,16,16,16,21,22,26,26,27,22,35,35,36,37,37,36,40,40,36,37,36
"Mixtas","-Centros","Bizkaia","Privado",30,34,52,51,68,69,73,100,120,133,139,149,171,173,175,176,177,173,175,166,159,162,167,164,165,172,168,169,165,164
"Mixtas","-Centros","Gipuzkoa","Total",34,34,34,34,34,39,42,44,45,49,51,51,54,55,55,57,58,57,58,58,56,58,57,58,58,60,62,62,60,61
"Mixtas","-Centros","Gipuzkoa","Público",21,22,20,21,23,25,25,25,26,25,26,26,24,23,22,22,23,26,24,26,23,25,25,25,26,25,26,26,25,25
"Mixtas","-Centros","Gipuzkoa","Privado",13,12,14,13,11,14,17,19,19,24,25,25,30,32,33,35,35,31,34,32,33,33,32,33,32,35,36,36,35,36
"Mixtas","-Plazas","C.A. de Euskadi","Total",6011,6206,7693,6922,7187,7510,7575,8655,9744,11269,11690,12096,13383,14537,14729,15862,16325,16464,16959,18031,18116,18253,18542,18637,18794,19461,19510,19551,19598,19489
"Mixtas","-Plazas","C.A. de Euskadi","Público",2946,3196,3677,3230,3651,3842,3824,3882,3830,3521,3739,3694,3386,3818,3908,4275,4405,4998,4485,6530,6425,6424,6566,6566,6533,6541,6557,6279,6316,6144
