"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Areatza","Total",4,7,4,3,4,5,5,2
"Areatza","Violencia ejercida por pareja / expareja",:,4,4,2,2,4,2,2
"Areatza","Violencia intrafamiliar",:,3,0,1,2,0,3,:
"Areatza","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,1,0,:
"Aretxabaleta","Total",5,8,6,7,11,7,16,13
"Aretxabaleta","Violencia ejercida por pareja / expareja",:,2,5,6,9,6,11,12
"Aretxabaleta","Violencia intrafamiliar",:,6,0,1,0,1,4,1
"Aretxabaleta","Violencia sexual en otros tipos de relación(*)",:,0,1,0,2,0,1,:
"Armiñón","Total",1,0,0,0,0,1,0,:
"Armiñón","Violencia ejercida por pareja / expareja",:,0,0,0,0,1,0,:
"Armiñón","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Armiñón","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Arraia-Maeztu","Total",12,3,1,2,0,1,0,1
"Arraia-Maeztu","Violencia ejercida por pareja / expareja",:,1,1,2,0,1,0,1
"Arraia-Maeztu","Violencia intrafamiliar",:,2,0,0,0,0,0,:
"Arraia-Maeztu","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Arrankudiaga-Zollo","Total",5,2,0,2,4,2,8,6
"Arrankudiaga-Zollo","Violencia ejercida por pareja / expareja",:,1,0,2,2,2,4,4
"Arrankudiaga-Zollo","Violencia intrafamiliar",:,0,0,0,2,0,4,2
"Arrankudiaga-Zollo","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,0,0,:
"Arrasate/Mondragón","Total",55,47,34,61,71,70,70,101
"Arrasate/Mondragón","Violencia ejercida por pareja / expareja",:,36,22,30,49,56,50,73
"Arrasate/Mondragón","Violencia intrafamiliar",:,8,11,18,17,7,12,21
"Arrasate/Mondragón","Violencia sexual en otros tipos de relación(*)",:,3,1,13,5,7,8,7
"Arratzu","Total",0,0,0,1,1,1,0,2
"Arratzu","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,1
"Arratzu","Violencia intrafamiliar",:,0,0,1,1,1,0,1
"Arratzu","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Arratzua-Ubarrundia","Total",1,1,3,1,3,1,6,7
"Arratzua-Ubarrundia","Violencia ejercida por pareja / expareja",:,1,2,0,3,1,6,6
"Arratzua-Ubarrundia","Violencia intrafamiliar",:,0,0,0,0,0,0,1
"Arratzua-Ubarrundia","Violencia sexual en otros tipos de relación(*)",:,0,1,1,0,0,0,:
"Arrieta","Total",1,0,1,0,0,0,0,1
"Arrieta","Violencia ejercida por pareja / expareja",:,0,1,0,0,0,0,:
"Arrieta","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Arrieta","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,1
"Arrigorriaga","Total",29,19,41,36,30,36,46,29
"Arrigorriaga","Violencia ejercida por pareja / expareja",:,13,25,22,22,30,32,23
"Arrigorriaga","Violencia intrafamiliar",:,4,14,11,4,2,11,4
"Arrigorriaga","Violencia sexual en otros tipos de relación(*)",:,2,2,3,4,4,3,2
"Artea","Total",0,0,1,0,5,3,0,2
"Artea","Violencia ejercida por pareja / expareja",:,0,1,0,4,3,0,1
"Artea","Violencia intrafamiliar",:,0,0,0,0,0,0,1
"Artea","Violencia sexual en otros tipos de relación(*)",:,0,0,0,1,0,0,:
"Artzentales","Total",1,2,1,2,1,2,3,5
"Artzentales","Violencia ejercida por pareja / expareja",:,1,0,1,1,2,3,3
"Artzentales","Violencia intrafamiliar",:,1,1,1,0,0,0,1
"Artzentales","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,1
"Artziniega","Total",10,7,3,1,4,18,14,18
"Artziniega","Violencia ejercida por pareja / expareja",:,4,2,1,4,17,14,16
"Artziniega","Violencia intrafamiliar",:,2,1,0,0,1,0,:
"Artziniega","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,0,0,2
"Asparrena","Total",2,2,8,6,4,7,5,5
"Asparrena","Violencia ejercida por pareja / expareja",:,2,6,4,3,5,4,5
"Asparrena","Violencia intrafamiliar",:,0,0,2,1,2,1,:
"Asparrena","Violencia sexual en otros tipos de relación(*)",:,0,2,0,0,0,0,:
"Asteasu","Total",2,4,1,5,2,2,2,2
"Asteasu","Violencia ejercida por pareja / expareja",:,4,1,1,2,0,1,2
"Asteasu","Violencia intrafamiliar",:,0,0,4,0,2,1,:
"Asteasu","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Astigarraga","Total",10,15,15,10,12,23,13,23
