Año;Ámbito territorial;Magnitud;Valor
2010;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,7
2011;"Gipuzkoa";"Defunciones Totales";6301
2011;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,9
2012;"Gipuzkoa";"Defunciones Totales";6514
2012;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,2
2013;"Gipuzkoa";"Defunciones Totales";6385
2013;"Gipuzkoa";"Tasa % por 1000 Habitantes";9
2014;"Gipuzkoa";"Defunciones Totales";6525
2014;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,2
2015;"Gipuzkoa";"Defunciones Totales";6932
2015;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,8
2016;"Gipuzkoa";"Defunciones Totales";6776
2016;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,5
2017;"Gipuzkoa";"Defunciones Totales";7006
2017;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,8
2018;"Gipuzkoa";"Defunciones Totales";7032
2018;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,8
2019;"Gipuzkoa";"Defunciones Totales";6862
2019;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,6
2020;"Gipuzkoa";"Defunciones Totales";7738
2020;"Gipuzkoa";"Tasa % por 1000 Habitantes";10,8
2021;"Gipuzkoa";"Defunciones Totales";7617
2021;"Gipuzkoa";"Tasa % por 1000 Habitantes";10,6
2022;"Gipuzkoa";"Defunciones Totales";7872
2022;"Gipuzkoa";"Tasa % por 1000 Habitantes";11
2023;"Gipuzkoa";"Defunciones Totales";7509
2023;"Gipuzkoa";"Tasa % por 1000 Habitantes";10,4
2024;"Gipuzkoa";"Defunciones Totales";7325
2024;"Gipuzkoa";"Tasa % por 1000 Habitantes";10,1
2025;"Gipuzkoa";"Defunciones Totales";7588
2025;"Gipuzkoa";"Tasa % por 1000 Habitantes";10,4
