Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2024;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";43,5
2025;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";43,3
2023;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";41,5
2021;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";44,6
2020;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";41,2
2024;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";42,1
2022;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";43,2
2020;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";41,6
2019;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";42,8
2023;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";44,4
2025;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";41,2
2021;"G - Usar hojas de cálculo";"Total";"Total";"Gipuzkoa";"%";44,4
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";41,9
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";50
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";51,9
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";37
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";60,3
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";55,2
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"C.A. de Euskadi";"%";52,1
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";40
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";38,4
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";52,5
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";46
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";55,9
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";51,6
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Araba/Álava";"%";59,6
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";54,2
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";37,4
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";52,8
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";60,3
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";50,6
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";42,5
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Bizkaia";"%";52,3
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";41,8
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";50,6
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";60,6
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";56,4
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";35,7
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";50,8
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Total";"Gipuzkoa";"%";51,6
2023;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";70,5
2020;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";68,3
2022;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";68,2
2021;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";73,8
2025;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";70,6
2019;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";64,5
2024;"A - Al menos una / Competencia global";"Total";"Mujer";"C.A. de Euskadi";"%";68,4
2022;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";67,8
2025;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";69,6
2020;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";70,8
2019;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";66,1
2024;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";67
2021;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";74,4
2023;"A - Al menos una / Competencia global";"Total";"Mujer";"Araba/Álava";"%";72,8
2024;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";69,1
2020;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";67,7
2022;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";67,3
2025;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";71,9
2019;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";64,6
2023;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";69,6
2021;"A - Al menos una / Competencia global";"Total";"Mujer";"Bizkaia";"%";72,8
2021;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";75
2020;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";68,1
2019;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";63,6
2025;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";68,9
2024;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";67,8
2022;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";70
2023;"A - Al menos una / Competencia global";"Total";"Mujer";"Gipuzkoa";"%";70,9
2019;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";50,6
2023;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";49
2022;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";51,9
2025;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";42,5
2024;"D - Instalar software o aplicaciones";"Total";"Mujer";"C.A. de Euskadi";"%";44,6
